Titulo;Año;Director;Vista
Hôtel des Invalides;1952;Georges Franju;0
Pandora y el holandés errante;1951;Albert Lewin;0
Cantando bajo la lluvia;1952;Stanley Donen;0
Casco de acero;1951;Samuel Fuller;0
Un tranvía llamado deseo;1951;Elia Kazan;1
The Tall Target;1951;Anthony Mann;0
El pozo de la angustia;1951;Leo C. Popkin;0
El jeque blanco;1952;Federico Fellini;0
Cara de ángel;1953;Otto Preminger;0
Cautivos del mal;1952;Vincente Minnelli;0
Río de sangre;1952;Howard Hawks;0
Encuentro en la noche;1952;Fritz Lang;0
Europa '51;1952;Roberto Rossellini;0
Vivir;1952;Akira Kurosawa;0
La vida de Oharu, mujer galante;1952;Kenji Mizoguchi;0
Candilejas;1952;Charles Chaplin;0
Hombres errantes;1952;Nicholas Ray;0
Madame de...;1953;Max Ophüls;0
Me siento rejuvenecer;1952;Howard Hawks;0
Mi hijo John;1952;Leo McCarey;0
Testigo accidental;1952;Richard Fleischer;0
Otelo;1951;Orson Welles;0
La voz de la primera plana;1952;Samuel Fuller;0
El hijo de Rostro Pálido;1952;Frank Tashlin;0
Las estatuas también mueren;1953;Ghislain Cloquet;0
Umberto D.;1952;Vittorio De Sica;0
Traité de bave et d'éternité;1951;Isidore Isou;0
Melodías de Broadway 1955;1953;Vincente Minnelli;0
Los sobornados;1953;Fritz Lang;0
Mojada y peligrosa;1953;Charles Walters;0
Esto está de locos;1953;Chuck Jones;0
Cinco mil dedos del Dr. T;1953;Roy Rowland;0
Los caballeros las prefieren rubias;1953;Howard Hawks;0
La carroza de oro;1952;Jean Renoir;0
I Love Melvin;1953;Don Weis;0
Bésame, Kate;1953;George Sidney;0
Colorado Jim;1953;Anthony Mann;0
Calle River 99;1953;Phil Karlson;0
Manos peligrosas;1953;Samuel Fuller;0
Tres amores;1953;Vincente Minnelli;0
El sol siempre brilla en Kentucky;1953;John Ford;0
Cuentos de Tokio;1953;Yasujirô Ozu;1
Cuentos de la luna pálida;1953;Kenji Mizoguchi;0
Amazonas negras;1954;Don Weis;0
La condesa descalza;1954;Joseph L. Mankiewicz;0
Los amantes crucificados;1954;Kenji Mizoguchi;0
La torre de los ambiciosos;1954;Robert Wise;0
Johnny Guitar;1954;Nicholas Ray;0
Las vacaciones del señor Hulot;1953;Jacques Tati;1
La ventana indiscreta;1954;Alfred Hitchcock;0
Río sin retorno;1954;Otto Preminger;0
Anatahan;1953;Josef von Sternberg;0
El intendente Sansho;1954;Kenji Mizoguchi;0
Senso;1954;Luchino Visconti;0
Filón de plata;1954;Allan Dwan;0
Ha nacido una estrella;1954;George Cukor;0
El rastro de la pantera;1954;William A. Wellman;0
El salario del miedo;1953;Henri-Georges Clouzot;0
Cómicos en París;1955;Frank Tashlin;0
Conspiración de silencio;1955;John Sturges;0
La tela de araña;1955;Vincente Minnelli;0
Al este del Edén;1955;Elia Kazan;1
Eddy Duchin;1956;George Sidney;0
El beso mortal;1955;Robert Aldrich;0
La señora sin camelias;1953;Michelangelo Antonioni;0
Tierra de faraones;1955;Howard Hawks;0
Lola Montes;1955;Max Ophüls;0
Cuna de héroes;1955;John Ford;0
El hombre del brazo de oro;1955;Otto Preminger;0
Los contrabandistas de Moonfleet;1955;Fritz Lang;0
Mr. Arkadin;1955;Orson Welles;0
La noche del cazador;1955;Charles Laughton;0
Noche y niebla;1956;Alain Resnais;0
Ordet (La palabra);1955;Carl Theodor Dreyer;0
El imperio del terror;1955;Phil Karlson;0
Rebelde sin causa;1955;Nicholas Ray;1
La sal de la tierra;1954;Herbert J. Biberman;0
Noche de circo;1953;Ingmar Bergman;0
El héroe sacrílego;1955;Kenji Mizoguchi;0
Pero... ¿quién mató a Harry?;1955;Alfred Hitchcock;0
Wichita: Ciudad infernal;1955;Jacques Tourneur;0
Aparajito (El invencible);1956;Satyajit Ray;0
Baby Doll;1956;Elia Kazan;0
Cruce de destinos;1956;George Cukor;0
Más poderoso que la vida;1956;Nicholas Ray;0
Elena y los hombres;1956;Jean Renoir;0
Planeta prohibido;1956;Fred M. Wilcox;1
The Fountain of Youth;1956;Orson Welles;0
La chica no puede remediarlo;1956;Frank Tashlin;0
Ellos y ellas;1955;Joseph L. Mankiewicz;0
La invasión de los ladrones de cuerpos;1956;Don Siegel;0
Atraco perfecto;1956;Stanley Kubrick;1
Un condenado a muerte se ha fugado;1956;Robert Bresson;0
Centauros del desierto;1956;John Ford;1
Toda la memoria del mundo;1956;Alain Resnais;0
Mientras Nueva York duerme;1956;Fritz Lang;0
Tú y yo;1957;Leo McCarey;0
Victoria amarga;1957;Nicholas Ray;0
La casa del ángel;1957;Leopoldo Torre Nilsson;0
Cuarenta pistolas;1957;Samuel Fuller;0
Un rey en Nueva York;1957;Charles Chaplin;0
Kuchizuke;1957;Yasuzô Masumura;0
Les maîtres fous;1955;Jean Rouch;0
Senderos de gloria;1957;Stanley Kubrick;1
Yuma;1957;Samuel Fuller;0
Chantaje en Broadway;1957;Alexander Mackendrick;0
12 hombres sin piedad;1957;Sidney Lumet;0
Una mujer de cuidado;1957;Frank Tashlin;0
Falso culpable;1956;Alfred Hitchcock;0
Ajantrik;1958;Ritwik Ghatak;0
Cenizas y diamantes;1958;Andrzej Wajda;0
Le chant du Styrène;1958;Alain Resnais;0
La noche del demonio;1957;Jacques Tourneur;0
Gigi;1958;Vincente Minnelli;0
India: Matri Bhumi;1959;Roberto Rossellini;0
El hombre del Oeste;1958;Anthony Mann;0
Los mocosos;1957;François Truffaut;0
Mi tío;1958;Jacques Tati;1
Asesinato por contrato;1958;Irving Lerner;0
Chicago, año 30;1958;Nicholas Ray;0
Yo soy el padre y la madre;1958;Frank Tashlin;0
Une simple histoire;1959;Marcel Hanoun;0
Ángeles sin brillo;1957;Douglas Sirk;0
Tiempo de amar, tiempo de morir;1958;Douglas Sirk;0
Sed de mal;1958;Orson Welles;1
Vértigo (De entre los muertos);1958;Alfred Hitchcock;0
Muerte en los pantanos;1958;Nicholas Ray;0
Anatomía de un asesinato;1959;Otto Preminger;0
La aventura;1960;Michelangelo Antonioni;0
Al final de la escapada;1960;Jean-Luc Godard;1
Los cuatrocientos golpes;1959;François Truffaut;1
Buenos días;1959;Yasujirô Ozu;0
Hiroshima, mon amour;1959;Alain Resnais;1
El rostro;1958;Ingmar Bergman;0
Nazarín;1959;Luis Buñuel;0
Con la muerte en los talones;1959;Alfred Hitchcock;1
El fotógrafo del pánico;1960;Michael Powell;0
Pickpocket;1959;Robert Bresson;0
A pleno sol;1960;René Clément;0
Río Bravo;1959;Howard Hawks;0
El testamento de Orfeo;1960;Jean Cocteau;0
El tigre de Esnapur;1959;Fritz Lang;0
El botones;1960;Jerry Lewis;0
Suena el teléfono;1960;Vincente Minnelli;0
Les bonnes femmes;1960;Claude Chabrol;0
The Cloud-Capped Star;1960;Ritwik Ghatak;0
Devi;1960;Satyajit Ray;0
El fuego y la palabra;1960;Richard Brooks;0
Nise daigakusei;1960;Yasuzô Masumura;0
El multimillonario;1960;George Cukor;0
Psicosis;1960;Alfred Hitchcock;1
Los dientes del diablo;1960;Nicholas Ray;0
Sombras;1958;John Cassavetes;0
Espartaco;1960;Stanley Kubrick;0
Los crímenes del doctor Mabuse;1960;Fritz Lang;0
Tirad sobre el pianista;1960;François Truffaut;1
Río salvaje;1960;Elia Kazan;0
La joven;1960;Luis Buñuel;0
Zazie en el metro;1960;Louis Malle;0
Accattone;1961;Pier Paolo Pasolini;0
Crónica de un verano;1961;Edgar Morin;0
Cleo de 5 a 7;1962;Agnès Varda;0
The Exiles;1961;Kent Mackenzie;0
El buscavidas;1961;Robert Rossen;0
El terror de las chicas;1961;Jerry Lewis;0
El año pasado en Marienbad;1961;Alain Resnais;0
Lola;1961;Jacques Demy;0
Paris nous appartient;1961;Jacques Rivette;0
Viridiana;1961;Luis Buñuel;1
Tsuma wa kokuhaku suru;1961;Yasuzô Masumura;0
Yukinojô henge;1963;Kon Ichikawa;0
Confessions of an Opium Eater;1962;Albert Zugsmith;0
El eclipse;1962;Michelangelo Antonioni;0
El ángel exterminador;1962;Luis Buñuel;1
La casa es negra;1963;Forugh Farrokhzad;0
El mensajero del miedo;1962;John Frankenheimer;0
El hombre que mató a Liberty Valance;1962;John Ford;1
Le rendez-vous de minuit;1962;Roger Leenhardt;0
Too Late Blues;1961;John Cassavetes;0
O necem jiném;1963;Vera Chytilová;0
Adieu Philippine;1962;Jacques Rozier;0
El desprecio;1963;Jean-Luc Godard;0
Fellini 8½;1963;Federico Fellini;1
El gatopardo;1963;Luchino Visconti;0
Méditerranée;1963;Jean-Daniel Pollet;0
Muriel;1963;Alain Resnais;0
El profesor chiflado;1963;Jerry Lewis;0
Ro.Go.Pa.G.;1963;Jean-Luc Godard;0
Corredor sin retorno;1963;Samuel Fuller;0
El proceso;1962;Orson Welles;1
Banda aparte;1964;Jean-Luc Godard;0
Culloden;1964;Peter Watkins;0
Antes de la revolución;1964;Bernardo Bertolucci;0
Dios y el diablo en la tierra del sol;1964;Glauber Rocha;0
Caso clínico en la clínica;1964;Frank Tashlin;0
Gertrud;1964;Carl Theodor Dreyer;0
¡Qué noche la de aquel día!;1964;The Beatles;0
Soy Cuba;1964;Mikhail Kalatozov;0
El muelle;1962;Chris Marker;0
La mujer casada;1964;Jean-Luc Godard;0
Noviciat;1965;Noël Burch;0
La piel suave;1964;François Truffaut;0
Point of Order!;1964;Emile de Antonio;0
El desierto rojo;1964;Michelangelo Antonioni;0
Los corceles de fuego;1965;Sergei Parajanov;1
Zulú;1964;Cy Endfield;0
Lemmy contra Alphaville;1965;Jean-Luc Godard;1
Khesht va Ayeneh;1965;Ebrahim Golestan;0
Zacharovannaya Desna;1964;Yuliya Solntseva;0
Masculino, femenino;1966;Jean-Luc Godard;0
Nicht versöhnt oder Es hilft nur Gewalt, wo Gewalt herrscht;1965;Jean-Marie Straub;0
¡Peligro... línea 7000!;1965;Howard Hawks;0
Report;1967;Bruce Conner;0
Vinyl;1965;Andy Warhol;0
Andrei Rublev;1966;Andrei Tarkovsky;0
Al azar de Baltasar;1966;Robert Bresson;0
La noire de...;1966;Ousmane Sembene;0
Las margaritas;1966;Vera Chytilová;0
Pajaritos y pajarracos;1966;Pier Paolo Pasolini;0
Inauguration of the Pleasure Dome;1954;Kenneth Anger;0
Todo por amor;1966;George Axelrod;0
Made in U.S.A;1966;Jean-Luc Godard;0
Edipo Re;1967;Pier Paolo Pasolini;0
Persona;1966;Ingmar Bergman;1
El ángel rojo;1966;Yasuzô Masumura;0
2 ou 3 choses que je sais d'elle;1967;Jean-Luc Godard;1
El juego de la guerra;1967;Peter Watkins;0
What's Up, Tiger Lily?;1966;Woody Allen;0
El oficio más viejo del mundo;1967;Claude Autant-Lara;0
Belle de jour (Bella de día);1967;Luis Buñuel;1
Bonnie y Clyde;1967;Bonnie Parker;0
China está cerca;1967;Marco Bellocchio;0
La chinoise;1967;Jean-Luc Godard;0
David Holzman's Diary;1967;Jim McBride;0
Le Horla;1966;Jean-Daniel Pollet;0
Jeongsa;1965;Il-Ho Jang;0
Mouchette;1967;Robert Bresson;0
Playtime;1967;Jacques Tati;1
A quemarropa;1967;John Boorman;0
La prise de pouvoir par Louis XIV;1967;Roberto Rossellini;0
Privilegio;1967;Peter Watkins;0
Csillagosok, katonák;1967;Miklós Jancsó;0
El tiroteo;1966;Monte Hellman;0
Wavelength;1967;Michael Snow;0
Week End;1967;Jean-Luc Godard;0
Las señoritas de Rochefort;1967;Jacques Demy;0
Der Bräutigam, die Komödiantin und der Zuhälter;1968;Jean-Marie Straub;0
Dead by Hanging;1968;Nagisa Ôshima;0
Faces;1968;John Cassavetes;0
Te amo, te amo;1968;Alain Resnais;0
El guateque;1968;Blake Edwards;1
Petulia;1968;Richard Lester;0
The Plot Against Harry;1989;Michael Roemer;0
La semilla del diablo;1968;Roman Polanski;0
Sayat nova. El color de la granada;1969;Sergei Parajanov;1
Le 17e parallèle: La guerre du peuple;1968;Joris Ivens;0
Besos robados;1968;François Truffaut;0
El héroe anda suelto;1968;Peter Bogdanovich;0
Teorema;1968;Pier Paolo Pasolini;0
2001: Una odisea del espacio;1968;Stanley Kubrick;1
Amor loco;1969;Jacques Rivette;0
<--->;1969;Michael Snow;0
La sala de estar con cama;1969;Richard Lester;0
La mujer infiel;1969;Claude Chabrol;0
Blue Movie;1969;Andy Warhol;0
The Grandmother;1970;David Lynch;0
Ice;1970;Robert Kramer;0
Katzelmacher;1969;Rainer Werner Fassbinder;0
Mi noche con Maud;1969;Éric Rohmer;0
Mr. Freedom;1968;William Klein;0
Un tiempo para morir;1969;Budd Boetticher;0
Tom, Tom, the Piper's Son;1969;Ken Jacobs;0
Grupo salvaje;1969;Sam Peckinpah;0
Le cochon;1970;Jean-Michel Barjol;0
Aranyer Din Ratri;1970;Satyajit Ray;0
El pequeño salvaje;1970;François Truffaut;0
Fata Morgana;1971;Werner Herzog;0
Los asesinos de la luna de miel;1970;Leonard Kastle;0
Performance;1970;Donald Cammell;0
Le petit théâtre de Jean Renoir;1970;Jean Renoir;0
La vida privada de Sherlock Holmes;1970;Billy Wilder;0
Scenes from Under Childhood Section #4;1970;Stan Brakhage;0
La estrategia de la araña;1970;Bernardo Bertolucci;0
Tristana;1970;Luis Buñuel;0
Vampir Cuadecuc;1971;Pere Portabella;0
Woodstock;1970;Michael Wadleigh;0
Zabriskie Point;1970;Michelangelo Antonioni;0
The Act of Seeing with One's Own Eyes;1971;Stan Brakhage;0
Der Tod der Maria Malibran;1972;Werner Schroeter;0
Deux fois;1968;Jackie Raynal;0
Cuatro noches de un soñador;1971;Robert Bresson;0
Como Era Gostoso o Meu Francês;1971;Nelson Pereira dos Santos;0
Los vividores;1971;Robert Altman;0
